hypothesis_id,direction,signal_ts,trigger_ts,entry_ts,secondary_exit_ts,primary_exit_ts,secondary_gross_return,primary_gross_return,secondary_net_edge,primary_net_edge,cost_return,half,controls
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784029499999,1784030399999,1784030400000,1784034000000,1784044800000,-0.017909482998807347,-0.03052206405637281,-0.019109482998807346,-0.03172206405637281,0.0012,JULY_FIRST,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784131199999,1784132099999,1784132100000,1784135700000,1784146500000,0.00111735278070213,0.002265444289896945,-8.264721929786994e-05,0.0010654442898969452,0.0012,JULY_FIRST,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,1,1784206799999,1784207699999,1784207700000,1784211300000,1784222100000,0.008588849793474074,0.001170781051454961,0.007388849793474074,-2.9218948545038865e-05,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,1,1784257199999,1784258099999,1784258100000,1784261700000,1784272500000,-0.0019671048493615784,-0.011385936222403914,-0.003167104849361578,-0.012585936222403914,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,1,1784277899999,1784278799999,1784278800000,1784282400000,1784293200000,0.0016688568092222411,0.00344430409148333,0.0004688568092222412,0.0022443040914833304,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784406599999,1784407499999,1784407500000,1784411100000,1784421900000,-0.000624061198259529,-0.0026789723895503936,-0.0018240611982595289,-0.0038789723895503933,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784420999999,1784421899999,1784421900000,1784425500000,1784436300000,-0.0,0.00023474903474896003,-0.0012,-0.0009652509652510399,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784482199999,1784483099999,1784483100000,1784486700000,1784497500000,0.002978673994658898,0.0041552811858962535,0.0017786739946588981,0.002955281185896254,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784623499999,1784624399999,1784624400000,1784628000000,1784638800000,-0.0009274938481782513,-0.004951669111282753,-0.002127493848178251,-0.006151669111282752,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784640599999,1784641499999,1784641500000,1784645100000,1784655900000,-0.007225359458995051,-0.0021315790267095736,-0.00842535945899505,-0.0033315790267095732,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784681099999,1784681999999,1784682000000,1784685600000,1784696400000,0.002881736189741191,0.0036430911914080433,0.001681736189741191,0.0024430911914080436,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,1,1784777399999,1784778299999,1784778300000,1784781900000,1784792700000,-0.0008620532097011191,-0.004453433896054015,-0.0020620532097011188,-0.005653433896054015,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,1,1784816099999,1784816999999,1784817000000,1784820600000,1784831400000,-0.004348413566067633,-0.005171418393543625,-0.005548413566067632,-0.006371418393543625,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784878199999,1784879099999,1784879100000,1784882700000,1784893500000,-0.0009854885283930859,0.006691834370595728,-0.0021854885283930855,0.005491834370595729,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1784955599999,1784956499999,1784956500000,1784960100000,1784970900000,0.0015548655438989423,0.004386997768292322,0.0003548655438989424,0.0031869977682923226,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1785254399999,1785255299999,1785255300000,1785258900000,1785269700000,0.00014108374260679568,-0.0026461039724479107,-0.0010589162573932042,-0.0038461039724479104,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1785284099999,1785284999999,1785285000000,1785288600000,1785299400000,0.0014971908136872658,0.003145976104334536,0.0002971908136872659,0.0019459761043345359,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1785312899999,1785313799999,1785313800000,1785317400000,1785328200000,-0.0024923921363628754,-0.0004527378974292784,-0.003692392136362875,-0.0016527378974292783,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,1,1785329999999,1785330899999,1785330900000,1785334500000,1785345300000,-0.0009673616532863694,-0.006978379000475821,-0.002167361653286369,-0.00817837900047582,0.0012,JULY_SECOND,
M1_H02_BTC_SFP_ETH_SMT_TRIGGER,-1,1785378599999,1785379499999,1785379500000,1785383100000,1785393900000,0.0025102572158228753,0.004869650150397642,0.0013102572158228754,0.0036696501503976423,0.0012,JULY_SECOND,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,-1,1782964799999,1782975599999,1782975600000,1782990000000,1783018800000,-0.01644546836720462,-0.024663223099343323,-0.01764546836720462,-0.025863223099343323,0.0012,JULY_FIRST,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,1,1783025999999,1783036799999,1783036800000,1783051200000,1783080000000,-0.002161178410965192,0.007349631543455137,-0.003361178410965192,0.006149631543455138,0.0012,JULY_FIRST,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,1,1783130399999,1783141199999,1783141200000,1783155600000,1783184400000,-0.0021336831488503183,0.003727960984079459,-0.003333683148850318,0.0025279609840794595,0.0012,JULY_FIRST,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,1,1783220399999,1783231199999,1783231200000,1783245600000,1783274400000,-0.0018527849175017375,-0.0018336511662021548,-0.003052784917501737,-0.0030336511662021545,0.0012,JULY_FIRST,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,1,1783695599999,1783706399999,1783706400000,1783720800000,1783749600000,0.002877558025268012,0.00528962872291916,0.0016775580252680123,0.00408962872291916,0.0012,JULY_FIRST,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,1,1783767599999,1783778399999,1783778400000,1783792800000,1783821600000,0.0011819870775642283,-0.0016803215503186086,-1.8012922435771623e-05,-0.0028803215503186083,0.0012,JULY_FIRST,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,-1,1783990799999,1784001599999,1784001600000,1784016000000,1784044800000,0.0001375157303605823,-0.03500414945721264,-0.0010624842696394176,-0.03620414945721264,0.0012,JULY_FIRST,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,1,1784145599999,1784156399999,1784156400000,1784170800000,1784199600000,-0.003323996322780909,-0.009942682272225278,-0.0045239963227809085,-0.011142682272225278,0.0012,JULY_FIRST,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,1,1784487599999,1784498399999,1784498400000,1784512800000,1784541600000,0.0031229811658302076,-0.003369900114297053,0.0019229811658302077,-0.004569900114297053,0.0012,JULY_SECOND,
M1_H03_REGIME_HIDDEN_RSI_CONTINUATION,-1,1784955599999,1784966399999,1784966400000,1784980800000,1785009600000,-0.0009097588044955085,-0.006044737623684959,-0.002109758804495508,-0.007244737623684959,0.0012,JULY_SECOND,
